PR-amplitude,RT-interval,PT-slope,DCT,DWT
2029.8325584170423,49,2.4736877106570776,5.973258988003488,2256.0000000000014
2058.1281532616217,49,3.9944084320253905,4.197820429838091,13.999999999999886
2086.1450937610225,49,3.1116679595554557,6.9266508416528065,509.0
2082.5914092065505,50,4.246551587660191,7.386054416767918,527.5
2024.7897769213987,49,3.421855858887537,7.3705935912940355,561.0
2030.0407524101863,49,3.7536293814193447,6.52890807369488,580.5000000000003
2051.7135130226648,50,3.8737375554363327,6.031005280986022,639.0000000000003
2147.948060064452,49,4.214414263434166,7.491874549805482,723.5000000000003
2081.660517458149,50,3.0907572898026743,4.1289255063533385,843.5000000000003
2061.030013358176,48,3.33318767321173,4.823784810910662,1018.0000000000007
2112.185839359527,49,4.0331119402566555,4.713773736723129,1193.0000000000007
2074.3105521523803,49,3.9135559310998738,4.679938370073019,1292.5000000000007
